price,year,manufacturer,model,odometer,type,paint_color,state,lat,long
29990,2017,jeep,wrangler sport suv 2d,22947,other,,ar,35.82,-90.68
32500,1987,volkswagen,vanagon,177313,mini-van,blue,ca,35.393662,-119.017503
0,2015,gmc,sierra 1500,106993,,white,ca,34.070311,-117.446303
0,2018,hyundai,accent,55985,sedan,silver,ca,34.4802,-117.4082
0,2020,gmc,sierra 2500hd,9143,,white,ca,34.070311,-117.446303
13999,2010,lexus,rx 350,115012,SUV,blue,ca,33.7938,-118.3172
5995,2011,nissan,leaf,52396,hatchback,silver,ca,35.248476,-118.936316
7995,2013,chrysler,200,102161,,,ca,35.248476,-118.936316
11995,2015,nissan,altima ￼,102457,sedan,black,ca,35.248476,-118.936316
17995,2018,honda,civic,33603,sedan,grey,ca,35.248476,-118.936316
12995,2012,toyota,corolla s,80410,sedan,blue,ca,35.248476,-118.936316
0,2016,honda,crv ex awd,87775,SUV,white,ca,36.32725,-119.276729
0,2015,ram,2500,106346,,,ca,34.070311,-117.446303
0,2016,honda,civic sedan,43794,sedan,,ca,34.4802,-117.4082
23990,2013,lexus,gs 350 sedan 4d,39664,sedan,brown,ca,35.38,-119.02
29990,2016,chevrolet,colorado extended cab,17302,pickup,red,ca,35.38,-119.02
25500,2014,chevrolet,camaro rs,29500,coupe,red,ca,35.3935,-119.1205
9600,1999,ram,2500,307000,,,ca,39.9296,-122.196
8400,2005,chevrolet,suburban 2500,179000,,,ca,35.3855,-118.986
25590,2018,mercedes-benz,c-class c 300,33640,sedan,blue,ca,35.38,-119.02
16990,2013,acura,tl special edition sedan,67448,sedan,silver,ca,35.38,-119.02
97995,2019,mercedes-benz,sprinter 2500,1010,,,ca,35.3866,-119.0171
11200,2014,toyota,camry,44000,sedan,white,ca,35.463637,-118.789785
7000,2005,toyota,4runner,280000,SUV,,ca,35.19414,-119.174405
0,2014,jeep,wrangler sahara 4wd,83862,offroad,silver,ca,36.32725,-119.276729
0,2008,,WORKHORSE W42,,other,black,ca,25.59352,-80.361752
36950,2007,ram,2500 quad cab,121349,truck,silver,ca,33.794656,-117.992994
31950,2006,ford,f250 super duty,98740,truck,grey,ca,33.794656,-117.992994
36950,2018,chevrolet,silverado 2500 hd,97602,truck,white,ca,33.794656,-117.992994
9000,1981,chevrolet,blazer,10,other,custom,ca,36.8579,-119.7655
15000,2010,nissan,370z roadster,47000,,,ca,36.059961,-119.537079
2600,2000,nissan,altima,180000,,,ca,34.4336,-118.5007
8300,2006,jeep,wrangler sport,212800,SUV,green,co,40.611268,-104.917022
10500,2008,chevrolet,tahoe,181000,SUV,black,co,40.4109,-104.7541
17000,2009,ford,f250 super duty,187734,,,co,39.920105,-104.792576
2300,2005,saturn,vue,207000,,,co,40.3803,-104.6971
8500,1988,ford,bronco,182000,SUV,blue,co,40.3849,-105.0916
19495,2018,subaru,outback,108477,SUV,red,co,40.392756,-104.727851
21995,2018,ford,explorer,111799,SUV,black,co,40.392756,-104.727851
29995,2018,chevrolet,silverado 1500,104910,truck,black,co,40.392756,-104.727851
0,2005,toyota,prius,226000,,green,co,40.114685,-104.971971
20990,2014,bmw,4 series 428i xdrive coupe,52326,coupe,blue,co,40.55,-105.06
24590,2016,bmw,x3 xdrive28i sport utility,44705,other,blue,co,40.55,-105.06
16993,1991,toyota,land cruiser awd,164235,SUV,grey,co,39.998,-105.0963
18990,2017,hyundai,tucson sport suv 4d,47185,other,black,co,40.55,-105.06
22590,2017,ram,1500 regular cab tradesman,39508,pickup,white,co,40.55,-105.06
24990,2014,acura,mdx sport utility 4d,34184,other,white,co,40.55,-105.06
27990,2020,ford,ranger supercab xl pickup,10688,pickup,white,co,40.55,-105.06
38990,2019,toyota,tundra crewmax sr5 pickup,15520,pickup,silver,co,40.55,-105.06
38990,2019,toyota,4runner limited sport,11877,other,white,co,40.55,-105.06
18990,2017,mini,hardtop 2 door cooper,22259,hatchback,,co,40.55,-105.06
15999,1973,ford,mustang,0,,silver,co,40.423021,-104.741618
44999,1967,ford,mustang,13510,SUV,silver,co,40.423021,-104.741618
4999,1988,chevrolet,suburban,0,SUV,blue,co,40.423021,-104.741618
3750,2007,toyota,yaris,189026,sedan,red,co,40.589199,-105.074448
3450,2000,subaru,forester,227355,wagon,,co,40.589199,-105.074448
7993,1986,ford,ranger xlt 4x4,93397,truck,red,co,39.998,-105.0963
23988,2014,mercedes-benz,gl-class,102550,other,,co,40.377978,-105.073812
14999,2015,infiniti,q50 base,57623,sedan,,co,40.182151,-105.102373
2500,1985,chevrolet,silverado,130000,pickup,brown,co,40.444036,-105.077491
15000,2013,volvo,xc90,77000,SUV,grey,co,40.5273,-104.7146
21895,2013,chevrolet,silverado ltz,86000,,,co,40.8233,-96.6766
7995,2010,,JEEP* PATRIOT*,104022,other,silver,ct,41.658369,-72.866606
1500,1997,dodge,dakota sport quad cab,209000,truck,red,ct,41.6667,-72.7722
8998,2012,subaru,impreza,133374,wagon,blue,ct,41.931038,-72.767128
7998,2010,subaru,legacy,95353,sedan,silver,ct,41.931038,-72.767128
7998,2010,subaru,forester,146146,SUV,silver,ct,41.931038,-72.767128
17995,2013,chevrolet,express,88542,van,white,ct,42.13448,-70.950051
3800,2010,chevrolet,hhr ls panel,170000,truck,white,ct,41.6052,-72.8727
19995,2015,ford,transit,96346,van,white,ct,42.13448,-70.950051
26590,2017,nissan,titan xd single cab sv,47267,pickup,white,ct,41.76,-72.68
7800,2006,,C230 S,56000,sedan,yellow,ct,41.7013,-72.6763
3500,2006,volvo,s60,169890,sedan,blue,ct,41.7073,-72.5727
4500,2009,honda,accord,155000,sedan,green,ct,41.8561,-72.6639
17495,2018,honda,accord lx,90,sedan,black,ct,42.698418,-71.181014
28999,2018,acura,tlx,63006,other,grey,ct,,
18500,1991,rover,,90000,SUV,silver,ct,41.766,-72.672
8995,2001,bmw,z3 roadster,122000,convertible,blue,ct,41.9661,-72.2899
11495,2011,toyota,sienna,132998,wagon,silver,ct,40.894535,-74.152367
18495,2015,subaru,wrx,108546,sedan,,ct,40.894535,-74.152367
14495,2012,ford,explorer,131090,SUV,white,ct,40.894535,-74.152367
19995,2008,ford,f-450,142907,other,green,ct,40.894535,-74.152367
11995,2009,cadillac,escalade,195366,SUV,black,ct,40.894535,-74.152367
13495,2013,bmw,5 series,89198,other,grey,ct,41.904839,-72.612814
388,2002,mercury,sable,150000,,,ct,41.448297,-72.828444
3500,2003,chevrolet,malibu,126137,,,ct,41.766,-72.6718
19500,1950,,MG TD,15000,convertible,black,ct,41.7316,-73.4583
15500,2013,toyota,rav4,59718,,red,ct,41.6412,-72.4609
27990,2017,chevrolet,colorado extended cab,22120,pickup,,ct,41.76,-72.68
8995,2008,,ACURA* MDX*,135356,other,silver,ct,41.658369,-72.866606
36990,2015,chevrolet,tahoe lt sport utility,51677,other,black,ct,41.76,-72.68
18590,2017,mazda,mazda3 touring 2.5,34723,hatchback,blue,ct,41.76,-72.68
36990,2018,audi,s5 premium plus coupe 2d,46298,coupe,white,dc,38.89,-77.03
32000,2016,ford,f-150,85461,pickup,black,dc,38.91706,-77.46954
38990,2014,toyota,fj cruiser sport utility,66710,other,,dc,38.89,-77.03
31590,2017,lexus,rx 350 sport utility 4d,28185,SUV,silver,dc,38.89,-77.03
35990,2019,,Genesis G80 3.8 Sedan 4D,8674,sedan,white,dc,38.89,-77.03
34590,2019,chevrolet,silverado 1500 ld,22722,pickup,brown,dc,38.89,-77.03
28590,2018,buick,regal tourx essence wagon,24672,wagon,,dc,38.89,-77.03
23590,2018,toyota,avalon hybrid xle plus,80000,sedan,black,dc,38.89,-77.03
22590,2017,ram,1500 regular cab tradesman,39508,pickup,white,dc,38.89,-77.03
21590,2017,buick,regal premium ii sedan 4d,14934,sedan,white,dc,38.89,-77.03
30990,2020,hyundai,veloster n coupe 3d,6568,coupe,white,dc,38.89,-77.03
27990,2016,honda,pilot ex-l sport utility,27085,other,blue,dc,38.89,-77.03
6500,2001,bmw,z3 convertible,86100,convertible,silver,dc,38.95778,-77.076817
13000,2012,toyota,rav4 limited sport,120000,,,dc,38.8867,-77.4457
22990,2020,mitsubishi,eclipse cross le,11215,hatchback,black,dc,38.89,-77.03
18990,2012,acura,tsx sedan 4d,36309,sedan,black,dc,38.89,-77.03
29990,2018,toyota,rav4 hybrid limited sport,14520,other,red,dc,38.89,-77.03
11995,2013,ford,e350,211000,,grey,dc,38.7707,-77.4494
18995,2017,ford,transit connect,50000,,white,dc,38.7707,-77.4494
32699,,,des-Benz GLC,36890,SUV,black,dc,39.172413,-77.164637
27900,,,des-Benz C-Class,34577,sedan,black,dc,39.172413,-77.164637
9450,2007,volkswagen,eos,81476,convertible,,dc,38.91542,-77.47277
16995,2013,chevrolet,express 2500,160000,,white,dc,38.7707,-77.4494
19250,2015,honda,accord ex-l,51200,sedan,grey,dc,38.853327,-77.196411
0,2018,toyota,sienna awd,25714,other,black,dc,38.823449,-76.947378
0,2013,mercedes-benz,glk,74315,SUV,grey,dc,,
4495,2003,mercury,sable,103141,sedan,,dc,39.10593,-77.56718
29990,2018,dodge,charger gt plus sedan 4d,20595,sedan,white,fl,30.33,-81.65
28800,2004,lexus,gx 470,147000,SUV,silver,fl,,
